AppID,Name,Price,DLC count,Estimated owners (mid),Positive rate,Total reviews,Release date,Developers,Publishers,Genres
292030,The Witcher® 3: Wild Hunt,39.99,22,15000000.0,0.9610725015130087,642758,"May 18, 2015",CD PROJEKT RED,CD PROJEKT RED,RPG
346110,ARK: Survival Evolved,29.99,15,15000000.0,0.8238310525836696,560268,"Aug 27, 2017","Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",Studio Wildcard,"Action,Adventure,Indie,Massively Multiplayer,RPG"
582010,Monster Hunter: World,29.99,200,15000000.0,0.8553732599691156,358757,"Aug 9, 2018","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Action
255710,Cities: Skylines,29.99,38,7500000.0,0.9342042209931514,200331,"Mar 10, 2015",Colossal Order Ltd.,Paradox Interactive,"Simulation,Strategy"
239140,Dying Light,29.99,34,7500000.0,0.9502525055395091,333061,"Jan 26, 2015",Techland,Techland,"Action,RPG"
8930,Sid Meier's Civilization® V,29.99,15,7500000.0,0.9614426455316837,185852,"Sep 21, 2010","Firaxis Games,Aspyr (Mac),Aspyr (Linux)","2K,Aspyr (Mac),Aspyr (Linux)",Strategy
883710,Resident Evil 2,39.99,13,7500000.0,0.9713018099015984,110668,"Jan 24, 2019","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Action
107410,Arma 3,29.99,18,7500000.0,0.9036517460751334,226822,"Sep 12, 2013",Bohemia Interactive,Bohemia Interactive,"Action,Simulation,Strategy"
552500,Warhammer: Vermintide 2,29.99,14,3500000.0,0.8347680508580025,88402,"Mar 8, 2018",Fatshark,Fatshark,"Action,Indie"
314160,Microsoft Flight Simulator X: Steam Edition,24.99,260,3500000.0,0.8586245270420655,22464,"Dec 18, 2014",Microsoft Game Studios,Xbox Game Studios,Simulation
238090,Sniper Elite 3,29.99,13,3500000.0,0.8204566915615075,23297,"Jun 27, 2014",Rebellion,Rebellion,"Action,Adventure"
389730,TEKKEN 7,39.99,24,3500000.0,0.8219225800833128,68896,"Jun 1, 2017",BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,"Action,Sports"
782330,DOOM Eternal,39.99,13,3500000.0,0.9107546553413917,153049,"Mar 19, 2020",id Software,Bethesda Softworks,Action
391220,Rise of the Tomb Raider™,29.99,13,3500000.0,0.9390808471389549,112755,"Feb 9, 2016","Crystal Dynamics,Eidos-Montréal,Feral Interactive (Mac),Feral Interactive (Linux),Nixxes","Square Enix,Feral Interactive (Mac),Feral Interactive (Linux)","Action,Adventure"
379430,Kingdom Come: Deliverance,29.99,13,3500000.0,0.8242260800016407,97522,"Feb 13, 2018",Warhorse Studios,"Warhorse Studios,Prime Matter","Action,Adventure,RPG"
620980,Beat Saber,29.99,71,3500000.0,0.9600501331662228,63829,"May 21, 2019",Beat Games,Beat Games,Indie
394360,Hearts of Iron IV,39.99,18,3500000.0,0.9203887065003283,190374,"Jun 6, 2016",Paradox Development Studio,Paradox Interactive,"Simulation,Strategy"
601150,Devil May Cry 5,29.99,32,3500000.0,0.9492967763295035,81552,"Mar 7, 2019","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Action
464920,Surviving Mars,29.99,14,3500000.0,0.8450439987492742,22386,"Mar 15, 2018","Haemimont Games,Abstraction",Paradox Interactive,"Simulation,Strategy"
56400,"Warhammer 40,000: Dawn of War II: Retribution",29.99,20,3500000.0,0.9072333469554557,7340,"Feb 28, 2011","Relic Entertainment,Feral Interactive (Mac/Linux)","SEGA,Feral Interactive (Mac/Linux)",Strategy
281990,Stellaris,39.99,19,3500000.0,0.8793503827887396,133493,"May 9, 2016",Paradox Development Studio,Paradox Interactive,"Simulation,Strategy"
703080,Planet Zoo,44.99,12,3500000.0,0.9022278282509758,58666,"Nov 5, 2019",Frontier Developments,Frontier Developments,"Casual,Simulation,Strategy"
236850,Europa Universalis IV,39.99,37,3500000.0,0.864478653416103,107768,"Aug 13, 2013","Paradox Development Studio,Paradox Tinto",Paradox Interactive,"Simulation,Strategy"
454650,DRAGON BALL XENOVERSE 2,49.99,22,1500000.0,0.8843757347754526,34023,"Oct 27, 2016","QLOC,DIMPS",BANDAI NAMCO Entertainment,"Action,Adventure,Casual,Massively Multiplayer"
